,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
1811,ivanka in air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1812,ivanka in russia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1813,ivanka leave on air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1814,ivanka trump,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,10
1815,ivanka trump jared,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1816,ivanka trump jared kushner,23,1,23,18,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1817,charge,41,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:38,0,0
1818,clown,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1819,air,18,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1820,air force,145,1,145,8,0,0,1,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1821,air force fun,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1822,air force ones,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1823,air force colonels,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1824,air force one,2371,1,2371,171,0,12,9,0,1,0,30,39,0,0,12,0,22:40:29,0,0
1825,air force one closed,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1826,air force one 'der,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:32,0,0
1827,air force one in moscows,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1828,air force one in saudi arabia,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1829,air force one in israel,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1830,air force one sean spicer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1831,air force one melania,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1832,air force one at masada,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1833,air force one at 35 000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22:40:33,0,0
1834,air force one really,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,22:40:30,0,0
1835,air force one nytimes,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1836,air force one trump,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1837,air force one pilot,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1838,air force one mile high club,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
